Date,Open,High,Low,Close,Adj Close,Volume
2024-02-23,807.900024,823.940002,775.700012,788.169983,788.132996,82938800
2024-02-26,797.000000,806.460022,785.049988,790.919983,790.882874,50397300
2024-02-27,793.809998,794.799988,771.619995,787.010010,786.973083,39170500
2024-02-28,776.200012,789.330017,771.250000,776.630005,776.593567,39311000
2024-02-29,790.940002,799.900024,783.500000,791.119995,791.082886,50728900
2024-03-01,800.000000,823.000000,794.349976,822.789978,822.751404,47677700
2024-03-04,841.299988,876.950012,837.190002,852.369995,852.330017,61561600
2024-03-05,852.700012,860.969971,834.169983,859.640015,859.640015,52063900
2024-03-06,880.219971,897.239990,870.299988,887.000000,887.000000,58252000
2024-03-07,901.580017,927.669983,896.020020,926.690002,926.690002,60811900
2024-03-08,951.380005,974.000000,865.059998,875.280029,875.280029,113299600
2024-03-11,864.289978,887.969971,841.659973,857.739990,857.739990,67836400
2024-03-12,880.489990,919.599976,861.500000,919.130005,919.130005,66807500
2024-03-13,910.549988,915.039978,884.349976,908.880005,908.880005,63571300
2024-03-14,895.770020,906.460022,866.000000,879.440002,879.440002,60231800
2024-03-15,869.299988,895.460022,862.570007,878.369995,878.369995,64019300
2024-03-18,903.880005,924.049988,870.849976,884.549988,884.549988,66897600
2024-03-19,867.000000,905.440002,850.099976,893.979980,893.979980,67217100
2024-03-20,897.969971,904.099976,882.229980,903.719971,903.719971,47906300
2024-03-21,923.000000,926.479980,904.049988,914.349976,914.349976,48037200
2024-03-22,911.409973,947.780029,908.340027,942.890015,942.890015,58521500
